feature,importance
EXT_SOURCE_MEAN,0.44081113
FLAG_OWN_CAR,0.18921882
NAME_EDUCATION_TYPE_Higher education,0.17289858
POS_CNT_INSTALMENT_MAX,0.1476958
ORGANIZATION_TYPE,0.13881932
OWN_CAR_AGE,0.13557044
NAME_INCOME_TYPE_Working,0.1351372
ANNUITY_TO_CREDIT,0.12147937
NAME_EDUCATION_TYPE_Secondary / secondary special,0.11762863
NAME_INCOME_TYPE_Commercial associate,0.10577624
OCCUPATION_TYPE,0.09967935
PREV_REFUSAL_RATE,0.099194065
CODE_GENDER,0.09741583
CREDIT_TO_GOODS,0.09570971
INST_AMT_PAYMENT_SUM,0.09291485
NAME_FAMILY_STATUS_Married,0.09280794
AMT_ANNUITY,0.09259729
EMERGENCYSTATE_MODE,0.083301574
INST_UNDERPAID_COUNT,0.08122531
INST_EARLY_RATIO,0.077493675
REG_CITY_NOT_WORK_CITY,0.077110104
EXT_SOURCE_MAX,0.075267695
INST_PAYMENT_RATIO_MIN,0.07292879
WALLSMATERIAL_MODE_Panel,0.07289814
FLAG_DOCUMENT_3,0.071804754
NAME_INCOME_TYPE_Pensioner,0.07061133
FLAG_WORK_PHONE,0.06945208
INST_LATE_RATIO,0.06937335
INST_EARLY_COUNT,0.067111395
BUREAU_DEBT_TO_CREDIT,0.06352588
REGION_RATING_CLIENT_W_CITY,0.06091128
AGE_GROUP_Senior,0.060573094
PREV_DOWN_PAYMENT_MEAN,0.059331134
AMT_GOODS_PRICE,0.05775964
POS_COMPLETED_COUNT,0.05667692
EXT_SOURCE_3,0.05610811
POS_COMPLETED_RATIO,0.055649355
DAYS_ID_PUBLISH,0.05564426
FLAG_PHONE,0.05310413
"WALLSMATERIAL_MODE_Stone, brick",0.051436864
EXT_SOURCE_MIN,0.051270798
DEF_30_CNT_SOCIAL_CIRCLE,0.047107004
POS_MONTHS_BALANCE_MIN,0.04680457
BUREAU_ACTIVE_COUNT,0.04660069
DAYS_BIRTH,0.046576012
INST_PAYMENT_DIFF_MAX,0.04641628
EMPLOYMENT_YEARS,0.045405824
BUREAU_ACTIVE_RATIO,0.044519637
POS_DPD_DEF_COUNT,0.04309362
PREV_AMT_ANNUITY_MEAN,0.042936593
ANNUITY_TO_INCOME,0.041648295
NAME_INCOME_TYPE_State servant,0.040496945
INST_TOTAL_PAYMENT_RATIO,0.03973924
FLAG_EMP_PHONE,0.039163277
EXT_SOURCE_1,0.03827364
INST_DAYS_LATE_MAX,0.037520822
REGION_POPULATION_RELATIVE,0.037175454
EXT_SOURCE_STD,0.036705077
CNT_FAM_MEMBERS,0.036325272
AGE_GROUP_Young,0.034715325
POS_CNT_INSTALMENT_MEAN,0.033950455
DAYS_EMPLOYED_ANOMALY,0.03373862
POS_MONTHS_BALANCE_MEAN,0.032439493
PREV_REFUSED_COUNT,0.032413296
NAME_EDUCATION_TYPE_Incomplete higher,0.031934794
EXT_SOURCE_2,0.031140145
CC_UTILIZATION_MAX,0.030833505
INST_LATE_COUNT,0.029484572
PREV_AMT_CREDIT_MAX,0.02916123
AGE_YEARS,0.02903852
OBS_30_CNT_SOCIAL_CIRCLE,0.028665641
WEEKDAY_APPR_PROCESS_START_MONDAY,0.028459335
EMPLOYMENT_TO_AGE_RATIO,0.027831476
PREV_APPROVAL_RATE,0.02776927
CC_UTILIZATION_MEAN,0.027439162
FONDKAPREMONT_MODE_reg oper account,0.027114306
BUREAU_TOTAL_DEBT,0.026879167
AGE_GROUP_Middle,0.024063531
DAYS_EMPLOYED,0.023481512
EXT_SOURCE_RANGE,0.02297607
AMT_CREDIT,0.022821534
BUREAU_TOTAL_CREDIT,0.022803733
INST_AMT_INSTALMENT_SUM,0.02279395
CC_DRAWING_RATIO_MEAN,0.02275361
NAME_HOUSING_TYPE_House / apartment,0.022657476
REG_CITY_NOT_LIVE_CITY,0.022623189
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.022394637
AMT_REQ_CREDIT_BUREAU_QRT,0.021603042
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.020961903
TOTAL_DOCUMENTS,0.020897796
DAYS_REGISTRATION,0.020338673
BUREAU_CLOSED_COUNT,0.01960541
DEF_60_CNT_SOCIAL_CIRCLE,0.019227652
POS_ACTIVE_COUNT,0.018915242
INST_COUNT,0.018908842
REGION_RATING_CLIENT,0.018082732
TOTAL_INQUIRIES,0.017907381
HOUR_APPR_PROCESS_START,0.017599113
DAYS_LAST_PHONE_CHANGE,0.01730543
OBS_60_CNT_SOCIAL_CIRCLE,0.017094834
PREV_DAYS_DECISION_MIN,0.016711755
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.01602492
PREV_APPROVED_COUNT,0.015841713
DEBT_TO_INCOME,0.01519666
CC_COUNT,0.015133581
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.015105058
BUREAU_AVG_DAYS_CREDIT,0.0150193935
ENTRANCES_MEDI,0.014727773
NAME_TYPE_SUITE_Unaccompanied,0.014348605
CC_BALANCE_MAX,0.013942676
PREV_AMT_CREDIT_MEAN,0.013808189
POS_COUNT,0.013776732
INCOME_PER_PERSON,0.013357654
ID_TO_BIRTH_RATIO,0.013179201
AMT_REQ_CREDIT_BUREAU_YEAR,0.012593205
BASEMENTAREA_MODE,0.012528961
PHONE_TO_BIRTH_RATIO,0.012184967
PREV_DAYS_DECISION_MEAN,0.0120658325
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.012033697
BUREAU_LOAN_COUNT,0.011618442
FLAG_DOCUMENT_6,0.011114147
BB_MAX_STATUS_EVER,0.010768756
INST_PAYMENT_DIFF_MEAN,0.010737585
TOTALAREA_MODE,0.010629521
NAME_TYPE_SUITE_Family,0.0106260115
POS_DPD_COUNT,0.010455019
CC_BALANCE_MEAN,0.010070767
FLOORSMAX_AVG,0.009925829
CNT_CHILDREN,0.009720496
NAME_EDUCATION_TYPE_Lower secondary,0.009618615
INST_DAYS_LATE_STD,0.009020206
PREV_APP_COUNT,0.008940578
AGE_GROUP_Very Young,0.008520793
AMT_INCOME_TOTAL,0.008050739
ENTRANCES_MODE,0.008017027
LANDAREA_AVG,0.007952296
LANDAREA_MODE,0.00787375
INST_DAYS_LATE_MEAN,0.0077390843
FLOORSMAX_MODE,0.0077325697
NONLIVINGAREA_MODE,0.0077257277
NAME_CONTRACT_TYPE,0.0072081718
YEARS_BEGINEXPLUATATION_MODE,0.007006955
FLOORSMAX_MEDI,0.0067954785
